key_mlbam,name
642239,rob zastryzny
701552,andre granillo
621242,edwin díaz
670032,nicky lopez
596001,jakob junis
593576,héctor neris
445926,jesse chavez
608337,lucas giolito
605513,spencer turnbull
667725,kyle tyler
676979,garrett crochet
669093,jeremiah estrada
593958,eduardo rodríguez
621051,steven wilson
605280,clay holmes
607732,jacob stallings
656271,brock burke
641386,ben bowden
695445,chase lee
666619,gregory santos
680735,austin cox
675650,michael mercado
808963,roki sasaki
669467,andre pallante
680604,blas castano
689266,dylan dodd
596295,austin gomber
669302,logan gilbert
669194,ryne nelson
692285,luis guerrero
663765,jake woodford
666277,george soriano
668674,lucas erceg
683627,anthony molina
620454,josé castillo
607259,nick martínez
477132,clayton kershaw
612434,miguel castro
670036,matt festa
679922,carlos duran
571510,matt boyd
671109,jake eder
625643,reynaldo lópez
673513,yuki matsui
621139,brooks kriske
650911,cristopher sánchez
663878,nate pearson
656730,trevor megill
657265,peter strzelecki
681911,alex vesia
680951,doug nikhazy
676961,caleb boushley
686642,fraser ellard
605507,zach thompson
656288,griffin canning
663795,justin hagenman
605288,adrian houser
683175,connor phillips
691172,yosver zulueta
621363,colin poche
668941,jojo romero
493603,adam ottavino
667297,tommy nance
606996,kyle hart
519326,hunter strickland
677944,slade cecconi
607625,seth lugo
681867,cooper criswell
547179,michael lorenzen
695243,mason miller
471911,carlos carrasco
680767,victor vodnik
665152,dean kremer
621237,josé alvarado
621345,a. j. minter
641154,pablo lópez
657097,jacob webb
547184,michael kelly
641793,zack littell
663465,kolby allard
820862,josé fermin
670950,trevor richards
669373,tarik skubal
543101,anthony desclafani
592094,jason adam
686753,drey jameson
642585,félix bautista
670871,guillo zuñiga
675911,spencer strider
605177,andrew chafin
547001,cody poteet
650556,bryan abreu
579328,yusei kikuchi
641360,phil bickford
434378,justin verlander
660896,jorge alcalá
678368,valente bellozo
681190,randy vásquez
676467,colton gordon
623465,evan phillips
702674,caden dana
679775,kyle backhus
664285,framber valdez
682254,mason montgomery
554431,tyler matzek
805673,zebby matthews
676395,robert garcia
605182,mike clevinger
671131,jackson rutledge
663738,daniel lynch
543518,scott mcgough
695534,chase petty
519043,matt moore
660271,shohei ohtani
676130,josé buttó
489119,wade miley
664849,danny young
672578,carlos hernández
621112,paul blackburn
801216,christian montes de oca
689690,alek jacob
801434,paul gervase
693855,ian seymour
573204,caleb thielbar
641778,eric lauer
641941,emilio pagán
693433,bryan woo
682990,quinn priester
666215,forrest whitley
690990,cade horton
686730,carson spiers
676272,bobby miller
543766,bryan shaw
678692,ronny henriquez
678316,omar cruz
684007,shota imanaga
641682,ryan hendrix
607455,anthony banda
694973,paul skenes
664062,tony gonsolin
663623,jake irvin
552640,andrew kittredge
664208,phil maton
542888,shawn armstrong
671345,jason foley
608718,brent suter
670167,john schreiber
677958,kumar rocker
687911,bryan king
669391,owen white
656234,jake bird
643511,tyler rogers
592779,brock stewart
663989,nick vespi
500743,miguel rojas
663474,triston mckenzie
681916,dylan smith
671305,michel otañez
665660,elvis alvarado
660261,shintaro fujinami
676254,ryan walker
669674,sam long
642708,amed rosario
643361,kevin herget
595014,blake treinen
681982,grant anderson
622608,antonio senzatela
668834,easton mcgee
554340,yimi garcía
605463,tayler scott
683155,joey estes
655889,manuel rodríguez
673540,kodai senga
622780,ángel perdomo
657006,justin steele
669203,corbin burnes
622503,nabil crismatt
606303,joel payamps
663568,stephen kolek
571948,hoby milner
668670,jake rogers
642100,gabe speier
690953,mick abel
606930,jacob barnes
689225,beau brieske
521230,liam hendriks
518585,fernando cruz
657612,tim hill
680704,nick sandlin
680755,braydon fisher
663542,bryan hudson
544150,albert suárez
500779,jose quintana
682515,logan porter
642546,jonathan hernández
694363,jared shuster
516853,wilking rodríguez
687606,paxton schultz
641482,néstor cortés
656876,drew rasmussen
688138,logan evans
666214,joey wentz
664139,ian gibaut
608032,carlos estévez
656222,jalen beeks
687922,easton lucas
669270,joel kuhnel
681869,shawn dubin
593974,wandy peralta
686973,louis varland
656546,jeff hoffman
669358,shane baz
624133,ranger suárez
642216,allan winans
641401,connor brogdon
688642,zach agnos
605218,carl edwards
664123,scott effross
605347,jorge lópez
656557,tanner houck
687798,nick robertson
696270,ryan johnson
688427,kolton ingram
691951,sam aldegheri
592662,robbie ray
660761,josé suarez
657053,touki toussaint
669387,carmen mlodzinski
683766,christian koss
670955,edwin uceta
663423,trent thornton
660787,yerry de los santos
669923,george kirby
607200,erick fedde
657376,clarke schmidt
519141,drew pomeranz
641835,tim mayza
687330,kevin kelly
621121,lance mccullers
674072,tommy henry
656232,brandon bielak
806188,cade gibson
683004,jack leiter
640902,jhonny pereda
675540,xzavion curry
641427,alan busenitz
663969,tyler phillips
694297,brandon pfaadt
621057,justin garza
680729,garrett mcdaniels
701121,logan vanwey
669735,chris rodriguez
663897,luke williams
676684,will vest
663559,bailey falter
681962,vinny capra
663455,konnor pilkington
671737,taj bradley
660730,elvin rodríguez
682243,bryce miller
681810,austin warren
607074,carlos rodón
622569,pablo reyes
670280,david bednar
676617,riley o'brien
671096,andrew abbott
622379,luis castillo
663574,tony santillan
640448,kyle finnegan
670810,logan gillaspie
680702,joey gerber
628452,raisel iglesias
671106,logan allen
680730,mitchell parker
542881,tyler anderson
682842,abner uribe
608638,j. t. chargois
605154,john brebbia
687849,zak kent
676702,hunter stratton
682052,jacob lopez
669422,matt sauer
680736,justin wrobleski
669371,cole henry
664854,ryan helsley
660853,enyel de los santos
696136,jordan wicks
663687,hogan harris
700669,gordon graceffo
670766,darren mccaughan
571578,patrick corbin
641329,bryan baker
682989,victor mederos
571771,enrique hernández
573124,taylor rogers
669618,joe barlow
650644,aaron civale
663978,chris paddack
596112,robert stephenson
519008,t. j. mcfarland
682790,wikelman gonzález
676263,jack dreyer
571760,andrew heaney
682825,luis mey
687888,brandon walter
605400,aaron nola
678024,mike vasil
623474,jimmy herget
686580,justin slaten
453286,max scherzer
686249,nathan wiles
668909,gavin williams
693821,bryce elder
663992,richard lovelady
691587,eury pérez
679885,justin martinez
570632,josé ureña
660604,alan rangel
571946,shelby miller
685299,tanner gordon
686701,ryan bergert
592426,luke jackson
687134,bradley blalock
657585,reed garrett
671212,joe boyle
686751,seth johnson
689017,landon knack
657756,connor seabold
694819,jacob misiorowski
669372,j. t. ginn
687145,evan justice
668984,casey legumina
664351,luis contreras
596133,luke weaver
678394,brayan bello
663432,tanner rainey
681402,gus varland
678821,luis peralta
642180,tyler wade
691799,grant taylor
676534,calvin faucher
676282,joey cantillo
607192,tyler glasnow
596271,casey lawrence
676760,ron marinaccio
656986,bennett sousa
675848,juan mejia
622554,seranthony domínguez
642547,freddy peralta
678606,jose ferrer
695418,brad lord
663773,bryan hoeing
669212,eli morgan
623149,paul sewald
686752,ryan pepiot
676879,aaron ashby
605483,blake snell
657044,ryan thompson
669060,bryse wilson
689147,orion kerkering
685107,anthony veneziano
664141,jt brubaker
670102,bowden francis
681343,shane smith
686747,joe la sorsa
645444,josé herrera
681432,luke little
672282,reid detmers
664126,pete fairbanks
802419,tom harrington
650489,willi castro
690829,ben joyce
682120,tim herrin
669199,lake bachar
621366,ryan borucki
621107,zach eflin
676969,brett de geus
663485,cole sands
669020,ryan rolison
663372,ryan feltner
608665,kendall graveman
666661,juan morillo
669308,sean reynolds
573009,joe mantiply
642215,weston wilson
669724,brenan hanifee
681006,josh simpson
608717,chris stratton
677952,braxton ashcraft
669717,will wilson
668390,cole winn
656257,jeff brigham
607481,aaron bummer
667755,josé soriano
622761,jorge mateo
607536,kyle freeland
667463,john king
676051,codi heuer
594902,ben lively
642207,devin williams
700187,troy taylor
656420,j. p. feyereisen
672391,kaleb ort
663158,robert suarez
677955,jaden hill
691594,javier sanoja
702352,spencer bivens
676701,alan trejo
518886,craig kimbrel
681799,ethan roberts
666374,matt brash
600917,josé leclerc
656731,tylor megill
700241,michael mcgreevy
669193,jack little
642016,daniel robert
642232,ryan yarbrough
519151,ryan pressly
656641,jacob latz
656820,nicholas padilla
689254,mason fluharty
691094,randy wynne
693312,kyle nicolas
665795,edward cabrera
622786,jesús tinoco
656818,connor overton
665645,kervin castro
680573,simeon woods richardson
663321,nick hernandez
605138,wes benjamin
681857,reese olson
489446,kirby yates
647315,zach pop
661395,jhoan durán
687396,brent headrick
641755,tyler kinley
676680,tom cosgrove
676679,luis vázquez
664192,joey lucchesi
674944,sean guenther
608372,tomoyuki sugano
806185,hayden birdsong
668716,noah murdock
622491,luis castillo
647336,michael soroka
664875,justin lawrence
669459,kyle nelson
646242,jhonathan díaz
643410,mark leiter
669395,dylan coleman
650671,josé quijada
682610,roddery muñoz
694851,andrew hoffmann
595345,steven okert
534910,jesse hahn
607067,colin rea
684974,craig yoho
666142,cole ragans
686654,ty adcock
621199,matthew bowman
673965,caleb freeman
656849,david peterson
571927,steven matz
677976,randy dobnak
691441,cristian mena
656848,michael petersen
