player_id,First Pitch Total,First Pitch In-Play #,First Pitch Ball #,First Pitch Called Strike #,First Pitch Swinging Strike #,First Pitch Foul #,First Pitch Hit #,First Pitch xBA,First Pitch In-Play %,First Pitch Ball %,First Pitch Strike %,key_mlbam,player_name,Team
434378,295,32,108,79,28,35,11,0.349,0.108,0.366,0.481,434378.0,justin verlander,CWS
445276,125,10,43,36,11,19,3,0.209,0.08,0.344,0.528,445276.0,kenley jansen,LAA
445926,16,1,6,7,0,1,0,0.769,0.062,0.375,0.5,445926.0,jesse chavez,AZ
450203,331,37,134,95,18,37,14,0.347,0.112,0.405,0.453,450203.0,charlie morton,BAL
453286,51,9,20,18,1,2,4,0.438,0.176,0.392,0.412,453286.0,max scherzer,TOR
455119,107,19,26,39,6,16,6,0.392,0.178,0.243,0.57,455119.0,chris martin,TEX
458677,111,12,50,18,16,13,5,0.334,0.108,0.45,0.423,458677.0,justin wilson,LAA
471911,142,19,54,43,6,16,7,0.428,0.134,0.38,0.458,471911.0,carlos carrasco,NYY
472610,117,17,46,28,10,10,7,0.399,0.145,0.393,0.41,472610.0,luis garcía,KC
476594,15,0,8,4,0,1,0,,0.0,0.533,0.333,476594.0,robert stock,NYY
477132,156,20,50,52,7,20,4,0.27,0.128,0.321,0.506,477132.0,clayton kershaw,COL
489119,55,8,20,20,0,6,2,0.262,0.145,0.364,0.473,489119.0,wade miley,DET
489446,104,13,38,25,10,15,2,0.262,0.125,0.365,0.481,489446.0,kirby yates,KC
493603,9,0,3,5,0,0,0,,0.0,0.333,0.556,493603.0,adam ottavino,DET
500743,23,6,9,3,0,5,5,0.691,0.261,0.391,0.348,500743.0,miguel rojas,KC
500779,258,31,99,79,12,23,9,0.326,0.12,0.384,0.442,500779.0,jose quintana,MIL
502043,73,12,27,16,5,11,6,0.379,0.164,0.37,0.438,502043.0,kyle gibson,BAL
518397,72,6,23,19,6,10,1,0.303,0.083,0.319,0.486,518397.0,scott alexander,COL
518489,45,6,18,9,2,10,0,0.22,0.133,0.4,0.467,518489.0,ryan brasier,HOU
518585,131,6,54,40,11,11,1,0.188,0.046,0.412,0.473,518585.0,fernando cruz,NYY
518876,396,46,147,132,34,33,16,0.398,0.116,0.371,0.503,518876.0,merrill kelly,AZ
518886,3,0,2,1,0,0,0,,0.0,0.667,0.333,518886.0,craig kimbrel,SF
519008,74,9,31,23,1,8,6,0.52,0.122,0.419,0.432,519008.0,t. j. mcfarland,DET
519141,85,12,25,29,3,15,3,0.385,0.141,0.294,0.553,519141.0,drew pomeranz,HOU
519151,135,20,45,39,7,13,3,0.302,0.148,0.333,0.437,519151.0,ryan pressly,HOU
519242,374,36,128,131,32,38,10,0.303,0.096,0.342,0.537,519242.0,chris sale,ATL
519326,77,14,26,18,3,11,3,0.196,0.182,0.338,0.416,519326.0,hunter strickland,LAA
521230,60,7,21,13,5,9,1,0.317,0.117,0.35,0.45,521230.0,liam hendriks,MIL
527048,83,11,30,26,8,6,4,0.447,0.133,0.361,0.482,527048.0,martín pérez,BOS
534910,23,5,9,6,0,1,2,0.301,0.217,0.391,0.304,534910.0,jesse hahn,HOU
542881,373,44,144,111,28,32,17,0.346,0.118,0.386,0.458,542881.0,tyler anderson,LAA
542888,143,14,45,57,11,11,2,0.302,0.098,0.315,0.552,542888.0,shawn armstrong,TEX
543056,84,12,31,22,7,11,4,0.232,0.143,0.369,0.476,543056.0,danny coulombe,DET
543101,32,5,13,7,2,4,1,0.266,0.156,0.406,0.406,543101.0,anthony desclafani,CWS
543135,280,32,107,84,17,37,5,0.348,0.114,0.382,0.493,543135.0,nathan eovaldi,TEX
543243,373,52,122,114,36,40,17,0.325,0.139,0.327,0.509,543243.0,sonny gray,CLE
543294,368,44,124,150,11,34,15,0.319,0.12,0.337,0.53,543294.0,kyle hendricks,LAA
543518,35,6,13,8,3,3,3,0.353,0.171,0.371,0.4,543518.0,scott mcgough,AZ
544150,11,2,6,3,0,0,0,0.188,0.182,0.545,0.273,544150.0,albert suárez,TOR
547001,16,2,7,3,3,1,1,0.46,0.125,0.438,0.438,547001.0,cody poteet,BAL
547179,382,48,139,109,25,45,16,0.369,0.126,0.364,0.469,547179.0,michael lorenzen,KC
547184,37,3,20,12,0,2,1,0.491,0.081,0.541,0.378,547184.0,michael kelly,TB
547973,129,18,37,31,19,20,4,0.263,0.14,0.287,0.543,547973.0,aroldis chapman,BOS
552640,77,11,19,30,3,14,4,0.389,0.143,0.247,0.61,552640.0,andrew kittredge,TEX
554340,82,7,29,25,9,8,0,0.349,0.085,0.354,0.512,554340.0,yimi garcía,TOR
554430,414,39,156,114,34,61,13,0.304,0.094,0.377,0.505,554430.0,zack wheeler,PHI
554431,35,8,15,4,2,6,4,0.266,0.229,0.429,0.343,554431.0,tyler matzek,SEA
570632,81,15,19,21,4,21,6,0.564,0.185,0.235,0.568,570632.0,josé ureña,LAD
571466,11,6,1,4,0,0,2,0.298,0.545,0.091,0.364,571466.0,tucker barnhart,TEX
571510,369,48,110,116,31,54,19,0.363,0.13,0.298,0.545,571510.0,matt boyd,STL
571578,348,43,118,104,34,39,15,0.349,0.124,0.339,0.509,571578.0,patrick corbin,TEX
571760,386,48,142,121,21,46,17,0.383,0.124,0.368,0.487,571760.0,andrew heaney,PIT
571771,37,5,21,6,2,2,1,0.074,0.135,0.568,0.27,571771.0,enrique hernández,LAD
571927,186,18,69,67,11,19,8,0.335,0.097,0.371,0.522,571927.0,steven matz,CLE
571945,349,41,102,142,15,43,9,0.311,0.117,0.292,0.573,571945.0,miles mikolas,CLE
571946,135,13,41,45,18,15,4,0.309,0.096,0.304,0.578,571946.0,shelby miller,AZ
571948,167,9,67,76,5,8,4,0.372,0.054,0.401,0.533,571948.0,hoby milner,TEX
572955,118,9,35,54,10,9,4,0.446,0.076,0.297,0.619,572955.0,pierce johnson,NYM
573009,58,9,17,19,6,7,6,0.294,0.155,0.293,0.552,573009.0,joe mantiply,SF
573124,119,9,45,49,9,6,1,0.276,0.076,0.378,0.538,573124.0,taylor rogers,CIN
573186,66,10,23,24,4,4,4,0.357,0.152,0.348,0.485,573186.0,marcus stroman,NYY
573204,116,11,40,31,8,22,4,0.333,0.095,0.345,0.526,573204.0,caleb thielbar,STL
579328,407,43,148,134,32,41,15,0.296,0.106,0.364,0.509,579328.0,yusei kikuchi,LAA
592094,175,11,70,48,25,15,2,0.179,0.063,0.4,0.503,592094.0,jason adam,CIN
592155,113,15,44,34,5,9,6,0.45,0.133,0.389,0.425,592155.0,cam booser,CWS
592332,375,45,111,110,32,66,14,0.277,0.12,0.296,0.555,592332.0,kevin gausman,CLE
592426,121,22,38,35,10,10,4,0.259,0.182,0.314,0.455,592426.0,luke jackson,TEX
592454,133,15,52,39,7,13,2,0.183,0.113,0.391,0.444,592454.0,tommy kahnle,DET
592662,400,39,156,109,44,47,9,0.22,0.098,0.39,0.5,592662.0,robbie ray,CWS
