away_team,home_team,away_pitcher,home_pitcher,StartTimeET
Detroit Tigers,Tampa Bay Rays,,,2025-06-21T16:10:00Z
Baltimore Orioles,New York Yankees,,,2025-06-21T17:05:00Z
Milwaukee Brewers,Minnesota Twins,,,2025-06-21T18:10:00Z
Cincinnati Reds,St. Louis Cardinals,,,2025-06-21T18:15:00Z
Seattle Mariners,Chicago Cubs,,,2025-06-21T18:20:00Z
Chicago White Sox,Toronto Blue Jays,,,2025-06-21T19:07:00Z
Boston Red Sox,San Francisco Giants,,,2025-06-21T20:05:00Z
Texas Rangers,Pittsburgh Pirates,,,2025-06-21T20:05:00Z
Atlanta Braves,Miami Marlins,,,2025-06-21T20:10:00Z
Kansas City Royals,San Diego Padres,,,2025-06-21T23:15:00Z
New York Mets,Philadelphia Phillies,,,2025-06-21T23:15:00Z
Arizona Diamondbacks,Colorado Rockies,,,2025-06-22T01:10:00Z
Houston Astros,Los Angeles Angels,,,2025-06-22T01:38:00Z
Cleveland Guardians,Athletics,,,2025-06-22T02:05:00Z
Washington Nationals,Los Angeles Dodgers,,,2025-06-22T02:10:00Z
