Player,Date,First_Pitch_Swing,First_Pitch_InPlay,Single,Double,HomeRun,XBH,xBA,BatterHand
"Faucher, Calvin",2025-06-20,True,True,False,False,False,False,0.526,L
"Faucher, Calvin",2025-06-20,True,True,False,False,False,False,0.254,R
"Phillips, Tyler",2025-06-20,True,True,False,False,False,False,0.1,R
"Phillips, Tyler",2025-06-20,True,True,False,True,False,True,0.689,L
"Bummer, Aaron",2025-06-20,True,True,False,False,False,False,0.146,R
"Henriquez, Ronny",2025-06-20,True,True,False,False,False,False,0.283,L
"Fuentes, Didier",2025-06-20,False,False,False,False,False,False,,L
"Fuentes, Didier",2025-06-20,True,True,False,False,True,True,0.994,R
"Junk, Janson",2025-06-20,True,True,False,False,False,False,0.78,R
"Junk, Janson",2025-06-20,True,True,False,False,False,False,0.577,L
"Fuentes, Didier",2025-06-20,True,True,False,True,False,True,0.223,L
"Hamilton, Ian",2025-06-20,True,True,False,False,False,False,0.169,R
"Blewett, Scott",2025-06-20,True,True,False,False,False,False,0.111,R
"Blewett, Scott",2025-06-20,True,True,False,False,False,False,0.366,L
"Fried, Max",2025-06-20,True,True,False,False,False,False,0.194,R
"Sugano, Tomoyuki",2025-06-20,True,True,True,False,False,False,0.374,R
"Fried, Max",2025-06-20,True,True,False,False,False,False,0.149,R
"Garza, Justin",2025-06-20,True,True,True,False,False,False,0.574,R
"Castillo, José",2025-06-20,True,True,True,False,False,False,0.474,L
"Castillo, José",2025-06-20,True,True,False,False,False,False,0.437,R
"Tidwell, Blade",2025-06-20,True,True,False,False,False,False,0.223,R
"Wheeler, Zack",2025-06-20,True,True,True,False,False,False,0.714,L
"Legumina, Casey",2025-06-20,True,True,False,False,False,False,0.051,L
"Boyd, Matthew",2025-06-20,True,True,False,False,False,False,0.597,L
"Boyd, Matthew",2025-06-20,True,True,True,False,False,False,0.589,R
"Kirby, George",2025-06-20,True,True,False,False,False,False,0.014,R
"Kirby, George",2025-06-20,True,True,False,False,False,False,0.001,L
"Kirby, George",2025-06-20,True,True,True,False,False,False,0.563,L
"Boyd, Matthew",2025-06-20,True,True,False,False,True,True,0.389,R
"Boyd, Matthew",2025-06-20,True,True,False,False,False,False,0.274,L
"Gilbert, Tyler",2025-06-20,True,True,True,False,False,False,0.271,R
"Green, Chad",2025-06-20,True,True,False,False,False,False,0.06,R
"Alexander, Tyler",2025-06-20,True,True,False,False,False,False,0.089,R
"Alexander, Tyler",2025-06-20,True,True,True,False,False,False,0.94,L
"Alexander, Tyler",2025-06-20,True,True,True,False,False,False,0.977,R
"Fisher, Braydon",2025-06-20,True,True,False,False,False,False,0.003,R
"Turnbull, Spencer",2025-06-20,True,True,True,False,False,False,0.263,L
"Turnbull, Spencer",2025-06-20,True,True,False,False,False,False,0.654,R
"Turnbull, Spencer",2025-06-20,True,True,False,False,True,True,0.977,L
"Bauers, Jake",2025-06-20,True,True,True,False,False,False,0.971,R
"Bride, Jonah",2025-06-20,True,True,False,True,False,True,0.369,R
"Bride, Jonah",2025-06-20,True,True,True,False,False,False,0.457,R
"Wentz, Joey",2025-06-20,True,True,False,False,False,False,0.003,R
"Mears, Nick",2025-06-20,True,True,False,False,False,False,0.06,L
"Mears, Nick",2025-06-20,True,True,False,False,False,False,0.003,L
"Topa, Justin",2025-06-20,True,True,True,False,False,False,0.74,L
"Coulombe, Danny",2025-06-20,True,True,True,False,False,False,0.249,L
"Coulombe, Danny",2025-06-20,True,True,False,False,False,False,0.123,R
"Coulombe, Danny",2025-06-20,True,True,True,False,False,False,0.483,L
"Misiorowski, Jacob",2025-06-20,True,True,False,False,False,False,0.651,L
"Misiorowski, Jacob",2025-06-20,True,True,False,False,False,False,0.206,R
"Ryan, Joe",2025-06-20,True,True,False,False,False,False,0.226,L
"Phillips, Connor",2025-06-20,True,True,True,False,False,False,0.191,R
"Maton, Phil",2025-06-20,True,True,False,False,False,False,0.18,R
"Pallante, Andre",2025-06-20,True,True,False,False,False,False,0.054,L
"Singer, Brady",2025-06-20,True,True,False,False,False,False,0.014,R
"Singer, Brady",2025-06-20,True,True,False,True,False,True,0.586,R
"Pallante, Andre",2025-06-20,True,True,True,False,False,False,0.943,R
"Pallante, Andre",2025-06-20,True,True,False,False,False,False,0.006,R
"Ferguson, Caleb",2025-06-20,True,True,False,False,False,False,0.749,R
"Borucki, Ryan",2025-06-20,True,True,False,True,False,True,0.654,R
"Martin, Chris",2025-06-20,True,True,True,False,False,False,0.249,R
"Mattson, Isaac",2025-06-20,True,True,False,False,False,False,0.234,L
"Ashcraft, Braxton",2025-06-20,True,True,False,False,False,False,0.157,L
"Burrows, Mike",2025-06-20,True,True,False,False,False,False,0.02,R
"deGrom, Jacob",2025-06-20,True,True,True,False,False,False,0.871,L
"deGrom, Jacob",2025-06-20,True,True,True,False,False,False,0.76,R
"Burrows, Mike",2025-06-20,False,False,False,False,False,False,,L
"deGrom, Jacob",2025-06-20,True,True,False,False,False,False,0.437,L
"Orze, Eric",2025-06-20,True,True,False,False,False,False,0.28,L
"Hanifee, Brenan",2025-06-20,True,True,False,False,False,False,0.074,R
"Hanifee, Brenan",2025-06-20,True,True,True,False,False,False,0.8,L
"Hanifee, Brenan",2025-06-20,True,True,False,False,False,False,0.431,L
"Whitley, Forrest",2025-06-20,True,True,False,False,False,False,0.466,R
"Whitley, Forrest",2025-06-20,True,True,False,True,False,True,0.489,L
"Baz, Shane",2025-06-20,True,True,False,False,False,False,0.32,R
"Gage, Matt",2025-06-20,True,True,False,False,False,False,0.001,L
"Flaherty, Jack",2025-06-20,True,True,False,False,False,False,0.017,L
"Baz, Shane",2025-06-20,True,True,True,False,False,False,0.263,R
"Baz, Shane",2025-06-20,True,True,True,False,False,False,0.937,L
"Flaherty, Jack",2025-06-20,True,True,False,False,False,False,0.003,L
"Flaherty, Jack",2025-06-20,True,True,False,True,False,True,0.843,L
"Backhus, Kyle",2025-06-20,True,True,True,False,False,False,0.549,R
"Molina, Anthony",2025-06-20,True,True,False,False,False,False,0.011,L
"Gallen, Zac",2025-06-20,True,True,False,False,True,True,0.949,L
"Gallen, Zac",2025-06-20,True,True,False,False,False,False,0.46,L
"Gomber, Austin",2025-06-20,True,True,False,False,True,True,0.974,R
"Gomber, Austin",2025-06-20,True,True,True,False,False,False,0.606,R
"Gallen, Zac",2025-06-20,True,True,False,False,False,False,0.166,R
"Gomber, Austin",2025-06-20,True,True,False,True,False,True,0.731,R
"Gomber, Austin",2025-06-20,True,True,False,False,False,False,0.234,R
"Gallen, Zac",2025-06-20,True,True,False,False,False,False,0.009,R
"Gomber, Austin",2025-06-20,True,True,True,False,False,False,0.74,R
"Bibee, Tanner",2025-06-20,True,True,False,False,False,False,0.214,R
"Springs, Jeffrey",2025-06-20,True,True,False,False,False,False,0.363,R
"Bibee, Tanner",2025-06-20,True,True,False,False,False,False,0.074,L
"Bibee, Tanner",2025-06-20,True,True,True,False,False,False,0.897,L
"Springs, Jeffrey",2025-06-20,True,True,False,False,False,False,0.149,R
"Bibee, Tanner",2025-06-20,True,True,False,False,False,False,0.02,R
"Springs, Jeffrey",2025-06-20,True,True,False,True,False,True,0.594,R
"Bibee, Tanner",2025-06-20,True,True,True,False,False,False,0.363,L
"Bibee, Tanner",2025-06-20,True,True,False,False,False,False,0.18,R
"Springs, Jeffrey",2025-06-20,True,True,False,False,False,False,0.006,R
"Bibee, Tanner",2025-06-20,True,True,True,False,False,False,0.511,R
"Springs, Jeffrey",2025-06-20,True,True,False,False,False,False,0.001,R
"Hader, Josh",2025-06-20,True,True,False,False,False,False,0.011,R
"Jansen, Kenley",2025-06-20,True,True,False,False,False,False,0.286,R
"Brown, Hunter",2025-06-20,True,True,False,False,False,False,0.043,R
"Kikuchi, Yusei",2025-06-20,True,True,False,False,False,False,0.149,R
"Rutledge, Jackson",2025-06-20,True,True,False,False,False,False,0.02,L
"Kopech, Michael",2025-06-20,True,True,True,False,False,False,0.929,R
"Gore, MacKenzie",2025-06-20,True,True,False,False,False,False,0.54,R
"Kershaw, Clayton",2025-06-20,True,True,False,False,False,False,0.1,R
"Gore, MacKenzie",2025-06-20,True,True,False,False,False,False,0.077,R
"Gore, MacKenzie",2025-06-20,True,True,False,True,False,True,0.537,R
"Kershaw, Clayton",2025-06-20,True,True,False,False,True,True,0.669,R
"Morgan, David",2025-06-20,True,True,False,False,False,False,0.037,R
"Adam, Jason",2025-06-20,True,True,True,False,False,False,0.734,L
"Lorenzen, Michael",2025-06-20,True,True,False,False,False,False,0.469,R
"Pivetta, Nick",2025-06-20,True,True,False,False,False,False,0.011,R
"Pivetta, Nick",2025-06-20,True,True,False,False,False,False,0.211,L
"Lorenzen, Michael",2025-06-20,True,True,False,False,False,False,0.18,R
"Lorenzen, Michael",2025-06-20,True,True,False,False,False,False,0.066,R
