Player,Total_First_Pitches,First_Pitch_Swings,First_Pitch_InPlay,First_Pitch_XBH,xBA,BatterHand,1B,2B,HR,Team,Swing%,InPlay%,XBH%
"Abbott, Andrew",93,92,92,5,0.317,R,20,4,1,PIT,98.9,98.9,5.4
"Abel, Mick",21,20,20,1,0.265,R,5,1,0,TB,95.2,95.2,4.8
"Abreu, Bryan",34,34,34,2,0.379,R,8,1,1,MIA,100.0,100.0,5.9
"Adam, Jason",19,18,18,0,0.164,L,2,0,0,SEA,94.7,94.7,0.0
"Adams, Travis",12,11,11,1,0.517,L,5,0,1,CWS,91.7,91.7,8.3
"Agnos, Zach",27,28,28,5,0.402,R,4,3,2,HOU,103.7,103.7,18.5
"Akin, Keegan",37,36,36,6,0.275,R,5,5,1,NYY,97.3,97.3,16.2
"Alcala, Jorge",26,25,25,2,0.195,R,4,2,0,PIT,96.2,96.2,7.7
"Alcantara, Sandy",95,92,92,12,0.349,R,24,9,3,CWS,96.8,96.8,12.6
"Alexander, Jason",54,54,54,10,0.378,R,7,8,2,LAA,100.0,100.0,18.5
"Alexander, Tyler",56,55,55,3,0.346,R,14,2,1,CIN,98.2,98.2,5.4
"Allard, Kolby",36,36,35,1,0.245,R,9,0,1,KC,100.0,97.2,2.8
"Allen, Logan",81,80,80,4,0.291,R,22,3,1,SEA,98.8,98.8,4.9
"Altavilla, Dan",20,20,20,4,0.309,L,1,1,3,BOS,100.0,100.0,20.0
"Alvarado, Elvis",19,19,19,5,0.367,R,3,4,1,HOU,100.0,100.0,26.3
"Alvarado, José",17,17,17,5,0.587,R,3,2,3,WSH,100.0,100.0,29.4
"Anderson, Grant",33,33,33,3,0.415,R,6,2,1,KC,100.0,100.0,9.1
"Anderson, Shaun",10,10,10,3,0.313,L,2,1,2,SEA,100.0,100.0,30.0
"Anderson, Tyler",69,68,68,10,0.332,R,13,4,6,HOU,98.6,98.6,14.5
"Armstrong, Shawn",37,36,36,3,0.315,R,3,1,2,LAD,97.3,97.3,8.1
"Arrighetti, Spencer",15,18,18,3,0.487,L,2,2,1,LAA,120.0,120.0,20.0
"Ashby, Aaron",38,37,37,2,0.275,R,6,2,0,KC,97.4,97.4,5.3
"Ashcraft, Braxton",43,41,41,3,0.308,R,9,2,1,BAL,95.3,95.3,7.0
"Ashcraft, Graham",43,43,43,3,0.246,L,7,3,0,TEX,100.0,100.0,7.0
"Assad, Javier",28,27,27,2,0.29,R,5,1,1,ATH,96.4,96.4,7.1
"Bachar, Lake",29,29,29,4,0.234,R,1,4,0,CWS,100.0,100.0,13.8
"Bachman, Sam",18,18,18,3,0.376,R,4,3,0,SEA,100.0,100.0,16.7
"Backhus, Kyle",15,15,15,2,0.317,R,2,1,1,COL,100.0,100.0,13.3
"Baker, Bryan",34,34,34,4,0.317,R,7,2,2,TOR,100.0,100.0,11.8
"Banda, Anthony",34,32,32,2,0.28,R,7,1,1,TB,94.1,94.1,5.9
"Banks, Tanner",30,30,30,4,0.325,R,5,1,3,WSH,100.0,100.0,13.3
"Barlow, Scott",18,18,18,0,0.299,R,5,0,0,TOR,100.0,100.0,0.0
"Bassitt, Chris",104,100,99,9,0.339,L,24,5,4,PIT,96.2,95.2,8.7
"Bautista, Félix",10,10,10,1,0.246,R,1,0,1,TB,100.0,100.0,10.0
"Baz, Shane",107,104,104,18,0.303,R,21,10,8,PIT,97.2,97.2,16.8
"Bazardo, Eduard",36,36,36,2,0.271,R,3,0,2,TOR,100.0,100.0,5.6
"Beck, Tristan",35,35,35,4,0.435,L,5,2,2,TEX,100.0,100.0,11.4
"Bednar, David",24,24,24,4,0.33,R,5,1,3,SF,100.0,100.0,16.7
"Beeks, Jalen",38,37,37,6,0.316,R,5,4,2,SEA,97.4,97.4,15.8
"Beeter, Clayton",12,12,12,0,0.364,R,1,0,0,LAD,100.0,100.0,0.0
"Bello, Brayan",94,91,91,5,0.329,L,21,3,2,MIL,96.8,96.8,5.3
"Bellozo, Valente",57,57,57,8,0.331,R,11,4,4,PHI,100.0,100.0,14.0
"Bender, Anthony",21,20,20,0,0.361,R,7,0,0,NYY,95.2,95.2,0.0
"Bergert, Ryan",28,28,28,1,0.336,L,6,1,0,SF,100.0,100.0,3.6
